rct_num,treated,n_hh,MAR,intake_protein,intake_calcium,intake_iron,intake_vitc,nar_protein,nar_calcium,nar_iron,nar_vitc,country,treatment
1.0,1.0,6.0,0.5830858345744865,10.894428733487926,114.45476362818764,28.597667205688506,169.30476190476193,0.2178885746697585,0.1144547636281876,1.0,1.0,Mexico (PAL),Treatment
1.0,0.0,5.0,0.6526169949347631,84.4116398843697,388.42988480976646,29.36512557932309,9.991714271817887,1.0,0.3884298848097665,1.0,0.2220380949292864,Mexico (PAL),Control
1.0,0.0,2.0,0.9126793968318828,125.7780571639538,650.7175873275313,45.14984293090446,266.5442856448038,1.0,0.6507175873275313,1.0,1.0,Mexico (PAL),Control
1.0,0.0,5.0,0.3270664970656168,19.451485772132877,102.4235085947173,7.261085734367371,20.085714285714285,0.3890297154426574,0.1024235085947173,0.3704635578758862,0.4463492063492063,Mexico (PAL),Control
1.0,0.0,4.0,0.0446269761032636,0.2225000009738973,12.035714324031558,0.5778571436447757,5.964285723332848,0.0044500000194779,0.0120357143240315,0.029482507328815,0.1325396827407299,Mexico (PAL),Control
1.0,0.0,4.0,0.4648403895777687,44.22321427038737,146.92007089682988,11.541464270438468,10.760714285714284,0.8844642854077475,0.1469200708968298,0.5888502178795136,0.2391269841269841,Mexico (PAL),Control
1.0,1.0,4.0,0.903150659942627,154.87532122220313,612.6026397705078,62.74882076297487,271.71160714285713,1.0,0.6126026397705079,1.0,1.0,Mexico (PAL),Treatment
1.0,1.0,5.0,0.7932725069027793,58.05442875640733,173.09002761111728,25.49242851910847,108.05714286378452,1.0,0.1730900276111172,1.0,1.0,Mexico (PAL),Treatment
1.0,0.0,4.0,0.8984237300815505,129.8484285601548,687.3457154339977,64.83696376915489,40.78571422014918,1.0,0.6873457154339977,1.0,0.906349204892204,Mexico (PAL),Control
1.0,1.0,3.0,0.6879207784782012,73.26052370057221,269.67253190222243,35.29095195560228,21.690476190476197,1.0,0.2696725319022224,1.0,0.482010582010582,Mexico (PAL),Treatment
1.0,1.0,2.0,0.9155000034057904,159.7839998070683,846.1269977501461,93.12785626671143,36.71428571428572,1.0,0.8461269977501461,1.0,0.8158730158730159,Mexico (PAL),Treatment
1.0,0.0,6.0,0.5613047767974892,51.8151761892296,236.5692856652396,16.478914284706114,7.5549999884196675,1.0,0.2365692856652396,0.840760932893169,0.1678888886315481,Mexico (PAL),Control
1.0,1.0,2.0,0.5893978181285636,63.36835748500057,154.03571695302213,34.9192864415901,9.160000000255447,1.0,0.1540357169530221,1.0,0.2035555555612321,Mexico (PAL),Treatment
1.0,1.0,2.0,0.9122991092324256,113.49907180368898,649.1964369297028,61.30671400129795,58.998571436745785,1.0,0.6491964369297029,1.0,1.0,Mexico (PAL),Treatment
1.0,1.0,13.0,0.401547303298469,37.09065933751536,103.33854934147426,11.608505491371996,7.594505494505493,0.7418131867503073,0.1033385493414742,0.5922706883353058,0.1687667887667887,Mexico (PAL),Treatment
1.0,1.0,2.0,0.2182649821833495,7.075000000000001,89.35714285714286,4.414285714285714,18.764285714285712,0.1415,0.0893571428571428,0.2252186588921282,0.4169841269841269,Mexico (PAL),Treatment
1.0,1.0,4.0,0.6873709262865403,88.11010711895565,271.3487845301628,33.36121429502963,21.516071427719933,1.0,0.2713487845301628,1.0,0.4781349206159985,Mexico (PAL),Treatment
1.0,0.0,5.0,0.7865624862776484,46.566571528145246,214.91851454768863,20.09674275926181,122.90800000020438,0.9313314305629048,0.2149185145476886,1.0,1.0,Mexico (PAL),Control
1.0,1.0,4.0,0.8010508918455669,55.302428219999584,204.20356738226752,53.74249872991017,250.86964285714285,1.0,0.2042035673822675,1.0,1.0,Mexico (PAL),Treatment
1.0,0.0,5.0,0.4276074489795918,20.714285714285715,85.94000000000001,4.119999999999999,203.34571428571425,0.4142857142857143,0.08594,0.210204081632653,1.0,Mexico (PAL),Control
1.0,0.0,4.0,0.865401858925713,85.2725360410554,461.60743570285183,44.13567872089998,348.8135717085429,1.0,0.4616074357028518,1.0,1.0,Mexico (PAL),Control
1.0,1.0,4.0,0.9138049108168376,140.5718933688211,655.2196432673505,57.52035720369645,269.1035714287843,1.0,0.6552196432673505,1.0,1.0,Mexico (PAL),Treatment
1.0,1.0,1.0,1.0,195.38071414551567,1021.5577126528536,115.47071354857512,65.96285714336804,1.0,1.0,1.0,1.0,Mexico (PAL),Treatment
1.0,1.0,2.0,0.918713017662508,144.80799997661796,674.8520706500325,124.69842842008386,265.6535714285714,1.0,0.6748520706500325,1.0,1.0,Mexico (PAL),Treatment
1.0,0.0,2.0,0.8925813828845109,64.54178617852075,570.3255315380437,70.84300146124193,307.7766864674432,1.0,0.5703255315380438,1.0,1.0,Mexico (PAL),Control
1.0,0.0,4.0,0.816006260380276,114.0141428125756,519.5171057738364,43.19103553295136,33.50285710862705,1.0,0.5195171057738365,1.0,0.7445079357472677,Mexico (PAL),Control
1.0,0.0,3.0,0.696751703759744,90.39632892225472,459.4016304668926,31.480524134635925,14.742233305743763,1.0,0.4594016304668926,1.0,0.3276051845720836,Mexico (PAL),Control
